english,klingon
Pretend I'm a stranger.,nov jIH 'e' yIghet!
You don't look very much like your father.,vavlI' Darurqu'be'.
I was proud of you.,SoHmo' jIHempu'.
"The room was completely dark, so we couldn't see anything.","Hurghchu' pa', vaj pagh wIleghlaH."
They're men.,loD chaH.
They're men.,loDpu' chaH.
They're guests.,mebpu' chaH.
The door burst open.,pay' poSchoH lojmIt.
She said she wasn't rich.,mIpbe' jatlhpu'.
A water molecule has two hydrogen atoms and one oxygen atom.,"cha' bIQSIp HeySelmey, wa' yInSIp HeySel je yugh bIQ 'o'rIS."
I didn't have time to think.,jIQubmeH poH vIHutlh.
He only eats fish because he's a cat.,"ghotI' neH Sop, vIghro' 'oHmo'."
They're natural.,but.
She speaks loudly.,pe'vIl jatlh.
She has a nice rack.,HuDDu' 'IH ghaj.
The father immediately came back home.,SIbI' juH chegh vav.
This is interesting to no one.,paghvaD Daj De'vam.
Not far from there is a small spring.,pa' Hopbe' bIQ Hal mach.
One who is blinded by love admires even a monster.,vabDot tlhapragh Ho' vay''e' leghbe'moHbogh parmaq.
I haven't watched that video yet.,wej HaSta tavetlh vIbej.
"She's beautiful, that's true—but once she opens her mouth, you'll only want to get away!","'IH ghaH, bIlugh — 'ach nujDaj poSmoHDI', bIHaw' DaneH neH."
Tell me about your new girlfriend.,jIHvaD banglI' chu' yIrIch!
When does your Christmas break start?,ghorgh tagh QISmaS lenraj?
She's asleep with a cold.,tera' tlhuH rop SIQ 'ej QongtaH.
It isn't hard for me.,jIHvaD Qatlhbe'.
I thought it would be fun to live in Australia for a year or two.,qaStaHvIS wa' DIS cha' DIS ghap 'aSralya vIDabchugh mubelmoH ghu'vetlh 'e' vIQub.
"Hand over your gun, said the policeman.",«HIchlIj chonob» jatlh ghan'Iq yaS.
Is your religion relevant throughout the whole Solar System?,Hovtay' HochDaq potlh'a' lalDanlIj?
There's no doubt that the new law won't be very popular.,Qatqu'be' chut chu' net Honbe'.
What are they discussing?,nuq lurIch?
I'm shopping.,Dochmey vIje'taH.
It's supposed to rain tomorrow.,wa'leS SIS 'e' 'aqlu'.
It seems I'm the only one here who knows how to speak French.,naDev vIraS Hol vIjatlhlaHlaw' jIH'e' neH.
Free Turtle Island!,la'SIv 'ambay yItlhabmoH!
Free Wales!,we'lIS yItlhabmoH!
Do you know anyone who's good at French?,vIraS Hol jatlhchu'bogh vay' DaSov'a'?
This message is for you.,SoHvaD QInvam ngeHlu'ta'.
Can you see the big white building over there?,pa' chISbogh qach tIn boleghlaH'a'?
It really was that big.,tInqu'bej.
This might not be a genuine diamond.,chaq ghav qutna' 'oHbe'.
I am willing to sell.,jIngevqang.
Can I take a picture here?,naDev mIllogh vIqon net chaw''a'?
I'll have to let you know.,qaSovnISmoH.
It'll cost you thirty dollars.,DaDIlmeH wejmaH Da'lar chonobnIS.
The father of this president was also a president.,che'wI' ghaHpu' je che'wI'vam vav'e'.
Our roof needs to be repaired again.,bebmaj tI'nISqa'lu'.
My accent is probably strange.,ghaytan jum QIch wab Ho'DoS SarwIj.
You're a dickhead.,petaQ SoH.
Why are you stopping?,qatlh bImev?
"You broke your arm when you were a teenager, didn't you?","HojnIy SoHtaHvIS DeSlIj Daghorpu', qar'a'?"
We'll rebuild.,mamutlhqa'.
I was taking pictures.,mIlloghmey vIqontaH.
We're going to get that.,'oH wISuqbej.
They said they wanted to buy a horse.,Sargh luje' luneH jatlhpu'.
What did you study in Germany?,DoyIchlanDaq nuq DaHaDta'?
They stuck to the rules of diplomatic protocol.,ghar chutmey pabtaH.
It was a strange beast.,Ha'DIbaH taQ 'oH.
What comes to your mind when you think of sunrise?,jajlo' chum DaqelDI' nuq DaQubchoH?
You're just getting in the way.,bIbottaH neH.
She was dressed in white at the party.,qaStaHvIS yupma' Sut chIS tuQtaH.
I know your real name.,pongna'lIj vISov.
Was anybody injured?,vay' rIQmoHlu''a'?
That isn't possible right now. Please wait a bit.,DaH DuHbe'. loQ yIloS!
I'm not like you.,qarurbe'.
She was very surprised to see her crippled son ahorse.,"SarghDaq ba'taH puqloDDaj 'e' leghDI', merqu' ghu'vam."
I hate the tundra.,puH taD vImuS.
That must be hard.,Qatlhbej.
You hate Tom.,tam DamuS.
I've got somebody with me.,mutlhejtaH vay'.
My family means everything to me.,jIHvaD qabDu'wIj potlh law Hoch potlh puS.
"When I grow up, I want to be a king.",jInenDI' voDleH jIH vIneH.
All people have to do is ask.,tlhobnIS neH nuvpu'.
All people have to do is ask.,tlhobnISlu' neH.
I'm afraid of offending you.,qamawvIp.
I'm a woman.,be' jIH.
My foot itches.,yul qamwIj.
I don't have a sister.,be'nI' vIghajbe'.
This is not exactly healthy.,rachchu'be'.
I haven’t learnt it yet.,wej vIghojpu'.
Perhaps we'll see each other again tonight.,chaq DaHjaj ram maghomqa'.
Are you really thinking of buying that old car?,puH Dujvetlh ngo' Daje' 'e' DaHechbej'a'?
Is everybody having a good time?,tIv'egh'a' Hoch?
I know that I can fix it.,vItI'laHchu' 'e' vISov.
Father lay watching TV.,"HaSta jIH bej vav, QottaHvIS."
I'd like to buy a house in Australia.,'aSralyaDaq juH qach vIje' vIneH.
I am thinking of nothing but you.,SoH'e' neH qabuStaH.
"Please, can you indicate this to me on the map?",jIHvaD pu'jInDaq Daqvam yIngu'!
Aren't you tired of me yet?,wej jIHmo' bIpuQ'a'?
"If there's something you don't like about another person, it's very likely you have it too.","DI'on Daparbogh ghajchugh latlh ghot, ghaytan DI'onvam Daghaj je SoH."
I know that you'll tell me the truth.,jIHvaD bIvIt 'e' vISov.
I think that'll change one day.,'opleS ghu'vetlh choHlu' 'e' vIQub.
She told me she was wounded.,jIrIQ muja'pu'.
She accidentally bumped into him.,bong ngeQpu'.
They insist that he should go.,mej ghaH 'e' luqap.
This film is very interesting.,Dajqu' HaSta muchvam.
They said that they aren't ready to leave.,mamejrupbe' jatlhpu'.
Rarely does he go out on Sunday.,pIjHa' jaj wa' juHDaj mej.
"It's happening now, isn't it?",DaH qaStaH qar'a'?
How can I get home now?,DaH chay' juH vIcheghlaH?
It's been warm all week.,ghun Hogh Hoch.
She realized that she was wrong.,mujpu' 'e' tlhoj.
I wish things could've been different.,pImpu' ghu' 'e' vIjIn.
I served the children their meal.,puqpu'vaD nay'chaj vIjabpu'.
It's not a serious mistake.,Qagh'a' 'oHbe'.
Who made the sun?,jul chenmoHta' 'Iv?
"I think, therefore I follow.","jIQub, vaj jIpab."
"I think, therefore I am.","jIQub, vaj jIyIn."
I'm big and strong.,jItIn 'ej jIHoS.
It was your choice.,wIvlIj 'oHpu'.
How big is your office?,'ar men yaH pa'lIj?
Can I get you some breakfast?,nIQ SaqemlaH'a'?
That's not a secret anymore.,DaH pegh 'oHbe'.
I'm a French teacher.,vIraS Hol ghojmoHwI' jIH.
No men were lost.,pagh loD weSpu'.
You won't have to hide any longer.,DaH bISo''eghnIStaHbe'.
I left Australia on October twentieth.,"jar wa'maH, jaj cha'maHDIch 'aSralya' vImejta'."
He got married when he was twenty-two years old.,qaStaHvIS DISDaj cha'maH cha'DIch Saw.
He usually went to bed at eleven.,motlh wa'maH wa'logh Qoylu'pu'DI' QongDaq 'el.
Why is this knife not in the drawer?,qatlh bo'voDDaq 'oHtaHbe' tajvam'e'?
Go ahead and tell the others we're coming.,latlhpu'vaD lIghoSlI' yIja'! yIruch!
This landscape looks like a different planet.,yuQ pIm rur jorchanvam.
My cats love me.,mumuSHa' vIghro'meywIj.
Oh! Is it true?,toH! teH'a'?
Do you have a real one?,teHwI' Daghaj'a'?
Did I interrupt anything?,vay' vIqagh'a'?
Why did he stay home instead of going to school?,qatlh juHDaq ratlh; DuSaQ jaH 'e' qa'?
I visit my father twice a year.,qaStaHvIS wa' DIS cha'logh vavwI' vISuch.
I have enjoyed myself very much.,jItIvqu''eghpu'.
He can hardly speak.,tlhoS jatlhlaHbe'.
I'm not convinced.,vIponlu'be'.
They increased the territory of the empire.,wo' yer lughurta'.
"Soon, I'll tell you some good news.",tugh QaQbogh De' chu' qaja'.
It isn't a fake.,ngebbe'.
We don't require assistance at this time.,DaH boQ wIpoQbe'.
We all know that dogs like to gnaw on bones.,HomDu' choptaH 'e' lutIv qovIjmey 'e' wISov Hoch.
I've had lots of chances.,'ebmey law' wIghajpu'.
I'm mad at them.,chaHmo' jIQeH.
There was no doctor who could cure her illness.,ropDaj vorlaHbogh Qel tu'lu'be'.
"Will you have another cup of coffee? ""No, thank you.""","«latlh qa'vIn HIvje' Datlhutlh'a'?» «ghobe', qatlho'.»"
We all know you.,pISov Hoch.
Give me your passport.,lengmeH chaw'lIj HInob!
"I do love Finland, but I can't stand the Finns.","SuwomIy vImuSHa', 'ach SuwomIynganpu' vIcherghbe'."
I won't bite you.,qachopbe'.
I feel sorry.,jIQoS.
I borrowed a book from the library.,paq nojwI' qachvo' paq vInojta'.
She took off her wig.,qur'epDaj teq.
Do it later.,SIbI'Ha' yIvang.
Thank you for yesterday.,wa'Hu'mo' qatlho'.
"Yes, I love you.","HIja', qamuSHa'."
The dull lecture bored the audience.,'IjwI'pu'vaD Dal SoQ qetlh.
Our bus came.,pawpu' lupwI'maj.
That's pretty hot.,tujqu'.
I really need a hug.,vIgheplu' 'e' vIpuQqu'.
He took the scissors away from her.,ghaHvo' cha''etlh pe'wI' teqpu'.
We took our shoes off.,waqmeymaj DIteqpu'.
I want to die!,jIHegh vIneH!
Do you want to look at it?,Dalegh DaneH'a'?
Why didn't you answer?,qatlh bIjangbe'?
Who can we trust?,'Iv wIvoqlaH?
But this report is not correct.,'ach qarbe' tavam.
I have three dogs.,wej qovIjmey vIghaj.
She has a secret.,pegh ghaj.
It will happen to you too.,SoHvaD qaSbej je.
I don't want them to hear.,luQoy vIneHbe'.
That's a very old tree.,Sor qanqu' 'oH.
Go to the other side.,latlh Dop yIghoS!
She cut her finger.,nItlhDaj pe'pu'.
Do you know that song?,bomvetlh DaSov'a'?
I'm trying not to be seen.,vIleghbe'lu' 'e' vInID.
Did they have cars?,puH Dujmey ghaj'a'?
This is a pineapple.,'IventoH 'oH naHvam'e'.
Let's go together.,nItebHa' majaHjaj.
"For dinner, we went back to my place.",'uQ wISopmeH juHwIj wIcheghpu'.
This book is mine.,paqwIj 'oH paqvam'e'.
I will forever be immortal.,reH jIjub.
We will continue the search.,manejtaH.
See you on Thursday.,loghjaj maghomqa'.
I cannot find the knife.,taj vISamlaHbe'.
Let her take care of it.,Qorgh ghaH 'e' yIchaw'.
Let's study French.,vIraS Hol wIHaDjaj.
Are you their mother?,SoSchaj SoH'a'?
I don't think that I can fix it.,vItI'laH 'e' vIQubbe'.
I don’t like watching television. I prefer listening to music.,HaSta jIH vIbej 'e' vItIvbe'. QoQ vIQoy 'e' vImaS.
I don't want any bananas at all.,pagh banan naHmey vIneH.
I'm boiling water.,bIQ vIpubmoHtaH.
There's nothing in this world that I'm afraid of.,qo'vamDaq vay' vIHajbogh tu'lu'be'.
I'm afraid that I'm not much of a cook.,Do'Ha' vutwI' po' jIHbe'.
I know that you're still angry with me.,jIHmo' bIQeHtaH 'e' vISuv.
Who'll go to Australia with you?,'aSralya' DajaHtaHvIS Dutlhej 'Iv?
English is studied in Japan.,nIponDaq DIvI' Hol HaDlu'.
She helped the elderly man cross the road.,taw chIqmeH loD qan boQ.
Will machine translation ever replace human translators?,'opleS Human meghwI'pu' qa''a' meghmeH janmey?
I think there isn't enough light.,yapbe' tamghay 'e' vIQub.
I don't remember too much.,De' law' vIqawbe'.
That wasn't possible.,DuHbe'.
I can't find what I want.,Doch vIneHbogh vISamlaHbe'.
She said she's ready for the test.,jIqaDrup jatlhpu'.
I'm sorry I couldn't be here yesterday.,wa'Hu' naDev jISaHlaHbe'mo' jIQoS.
Why don't we go back now?,qatlh DaH macheghbe'?
They're just doing their job.,Qu'chaj luturlI' neH.
Throw it to me.,jIHDaq yIvo'!
We complement each other.,manaQchuqmoH.
I thought for sure I was going to die.,jIHeghbej ngugh 'e' vIQub.
My parents taught me to swim when I was three years old.,qaStaHvIS DISwIj wejDIch QalmeH mIw mughojmoH vavwI' SoSwI' je.
How many times have you been burgled?,'arlogh DaHejlu'pu'?
"Even though I'm better at French, I really want to speak in English.","nIv vIraS Hol laHwIj, 'ach jIjatlhmeH DIvI' Hol vIlo' vIneHqu'."
"Pleasant morning, isn't it?","'IHqu' povam, qar'a'?"
How much do you have in the bank?,beylI'Daq Huch 'ar Dapol?
I cannot stomach it.,vISIQlaHbe'.
Do you understand the situation?,ghu' Dayaj'a'?
Have you seen them this morning?,povam chaH Daleghpu''a'?
Can I come to the ceremony?,qaStaHvIS tay jIjeS net chaw''a'?
You'll soon get used to eating Japanese food.,nIpon Soj DaSop tugh 'e' DabItlhbej.
Make everyone happy.,Hoch yIQuchmoH!
It was obvious that he wanted to kiss her.,be' chop neHba'.
She hasn't eaten.,wej Soppu'.
We need it now.,DaH 'oH wIpoQ.
"You're not going to stay, are you?",bIratlhbe' qar'a'?
After you had come.,bIpawpu'DI'.
You will die in three days.,wejleS bIHegh.
Another day gone by.,qaSqa'pu' latlh jaj.
She's still young.,QuptaH.
You guys are not going to believe this!,wanI'vam boHarbe'bej!
I'll carry you.,qaqeng.
"Forgive them, for they know not what they do.",tIqeHHa' ta'meychaj yajbe'mo'!
Sing!,yIbom!
Sing!,pebom!
Can he play the piano?,may'ron raS chu'laH'a'?
Why don't we try something else?,qatlh latlh mIw wInIDbe'?
He didn't study at all.,HaDbe'chu'pu'.
I pretended that I didn't see it.,vIleghbe'pu' 'e' vIghet.
The meeting was just about over.,tlhoS rIn qep.
The box was open and empty.,poS 'aplo' 'ej chIm.
He has a cold.,tera' tlhuH rop SIQ.
I can't forget about that stupid movie.,HaSta muchvetlh Dogh vIlIjlaHbe'.
You're making me laugh.,choHaghmoH.
Remove your hat when you go inside.,Da'elDI' mIvlIj yIteq!
The enemy cannot approach on foot.,chollaHbe' jagh yIttaHvIS.
Please begin immediately.,SIbI' yItagh!
I've heard this joke before.,wejHa' qIDvam vIQoypu'.
Where is the soup?,nuqDaq 'oHtaH chatlh'e'?
Tom is a hermit.,paghur ghaH tam'e'.
I'm a hermit.,paghur jIH.
He's a hermit.,paghur ghaH.
I live in Korea.,choSan vIDab.
I live in Korea.,Hanghuq vIDab.
I'm from Thailand.,mangtay 'oH mungwIj'e'.
Thailand is a military dictatorship.,QI' HI'tuy 'oH mangtay'e'.
Mary's on the spectrum.,ngur me'rIy.
Tom's on the spectrum.,ngur tam.
Tom is on the spectrum.,ngur tam.
Tom is autistic.,ngur tam.
Tom is on the autism spectrum.,ngur tam.
He wanted to buy a small house in Romania.,romanI'ya'Daq juH mach je' neH.
Romania is a beautiful country.,Sep 'IH 'oH romanI'ya''e'.
I hate politicians.,rubyo'pu' vImuS.
Tom is a politician.,rubyo' ghaH tam'e'.
This is just propaganda.,taj Hol neH 'oH.
There's too much propaganda on the Internet.,tlhoy 'InternetDaq taj Hol tu'lu'.
Tom is a martyr now.,DaH tlhu'roD ghaH tam'e'.
We'll visit Vietnam.,vIyetnam wISuchbej.
I want to visit the Philippines.,pIlIpIynaS vISuch vIneH.
We're going to visit Vietnam.,vIyetnam wISuchbej.
The ship sank and all hands were lost.,'oq Duj 'ej loj SenwI' rIlwI' je.
They loved them.,chaH muSHa' chaH.
They loved them.,bIH muSHa' chaH.
I'm a slave.,toy'wI''a' jIH.
I have two cats.,cha' vIghro' vIghaj.
War is bad.,qab veS.
Am I Jewish?,yISra'el northlam jIH'a'?
It may rain in the evening.,chaq choS SIS.
My house lays at a convenient place - near the train station.,Daq lI'Daq 'oH juH qachwIj'e'. mangghaDaq Sum.
Everyone is here now.,DaH naDev chaHtaH Hoch'e'.
Salt is crucial for cooking.,vutmeH 'ut qut na'.
Please don't be so impatient.,yIboHQo'!
We tend to make errors.,maQaghmeH Qo wIchIw.
I don't want to work today.,DaHjaj jIvum vIneHbe'.
I think even a child can do that.,vabDot 'oH ta'laH puq 'e' vIQub.
"Indeed, it's true.","bIlugh, teH."
You might see them there.,chaq pa' chaH Dalegh.
Call me if you find something.,vay' Datu'DI' HIrI'!
Don't put it on my desk.,raSwIjDaq yIlanQo'!
Would they drink water?,bIQ lutlhutlhrup'a'?
Cut the camera off.,HaSta ta qonwI' yIchu'Ha'!
Why don't you have any children yet?,qatlh wej puqpu' boghaj?
That has nothing to do with us.,nubopbe'chu'.
You may sit.,bIba' net chaw'.
Have you already heard about it?,wejHa' De'vetlh DaQoypu''a'?
We enjoyed our vacation.,maghIQ 'e' wItIv.
I bought it immediately.,SIbI' vIje'.
It's really not that hard.,Qatlhqu'be'bej.
No schools for the deaf existed in that era.,bovvetlh QoylaHbe'wI'pu' DuSaQ tu'lu'be'.
I didn't need to do that by myself.,nIteb vIturnISbe'.
Blame him for what he had done.,ta'meyDajmo' yIpIch!
I forgot to mention it to you.,qaja' 'e' vIlIj.
Why does nobody answer?,qatlh jang pagh?
They're going to like me.,muparHa'bej.
You're disobeying orders.,Qu'mey DalobHa'taH.
Why are you so sleepy?,qatlh bIDoy'qu'?
I can't permit this.,ta'vam vIchaw'laHbe'.
I can't permit this.,ta'vam vIchaw'Qo'.
My parents live in a big house.,juH qach tIn luDab qaytu'pu'wI'.
Her mother is a very beautiful woman.,be' 'IHqu' ghaH SoSDaj'e'.
The picture fell off the wall.,tlhoy'vo' pumpu' nagh beQ.
He is honest. That's why I like him.,yuDHa'. meqvetlhmo' vIparHa'.
There is a dictionary on the desk.,raSDaq mu'ghom tu'lu'.
How many apples?,'epIl naH 'ar?
Why didn't you eat breakfast?,qatlh nIQ DaSopbe'?
No one in my family can play a musical instrument.,QoQ jan chu'laH qorDu'wIj pagh'e'.
That isn't something I want to do.,'e' vItur vIneHbe'.
I can't find the restaurant.,Qe' vISamlaHbe'.
I am having a good time.,jItIv'eghtaH.
My new phone is thinner than my old phone.,ghogh HablI'wIj chu' lang law' ghogh HablI'wIj ngo' lang puS.
Thanks a lot said he with a smile.,«qatlho'qu'» jatlh montaHvIS.
Can you wrap it up for me? It's a gift.,jIHvaD DaqatlaH'a'? nob 'oH.
"You will take it, won't you?",Datlhap qar'a'?
Is it cruel to declaw your cat?,vIghro'Dajvo' pachmey teqlu'chugh rallu''a'?
That team has strong players.,'ovwI'pu' HoS ghaj ghomvetlh.
What is he up to now?,DaH nuq Hech?
I like that.,'e' vIparHa'.
The embassy sent me a book about Germany.,DoyIchlan bopbogh paq mungeHpu' rIvSo'.
"When I hear this song, I think of him.",bomvam vIQoyDI' ghaH vIqawchoH.
We're obedient.,malob.
That happened in October.,jar wa'maH qaSpu'.
They didn't understand me.,muyajbe'.
They said they liked my hair.,jIbwIj luparHa' jatlh.
I'm giving you a book.,paq qanob.
He always goes to the library on Thursday.,reH Hoch loghjaj paq nojwI' qach jaH.
It's a conspiracy.,QuS 'oH.
Just pretend like everything is normal.,motlh Hoch 'e' yIghet neH!
She sounds like a nice person.,naHHa'wI' ghaHlaw'.
Those are my lines.,mu'tlheghmeywIj bIH.
I can bake bread.,tIr ngogh vIvutlaH.
I expected this.,ghu'vam vIpIHpu'.
A fish leaped out of the water.,bIQvo' Suppu' ghotI'.
Everybody's waiting for you.,nIloSlI' Hoch.
We can walk.,mayItlaH.
So you did not randomly see her yesterday?,vaj wa'Hu' bong Daleghpu'be''a'?
He wants a cold glass of water.,bIQ bIr HIvje' poQ.
I often exercise.,pIj jIqeq.
I'll show you the schedule.,SoHvaD nab vI'ang.
People always ask me that.,reH 'e' mughel nuvpu'.
"My father is bald, just like yours.",jIb ghajbe' vavwI'; vavlI' rur.
They'll understand us.,nuyajbej.
I'm a chemical engineer.,tamlerQeD jonwI' jIH.
She's tall and slim.,woch 'ej lang.
It's cold out there.,HurDaq bIr.
It's cold out there.,bIr Hur.
I'm very likely to be able to do that.,ghaytan Qu'vetlh vIta'laH.
Where did he buy the flowers?,nuqDaq 'InSong je'ta'?
My father bought me a camera for my birthday.,qoSwIjmo' mIllogh qonwI' je'ta' vavwI'.
He just left.,'eQ mej.
There is no clock in my room.,pa'wIjDaq tlhaq tu'lu'be'.
Where did you get that suit?,nuqDaq Sutvetlh DaSuqpu'?
I don't often wear a tie.,pIjHa' mong Ha'quj vItuQ.
They're too difficult.,tlhoy Qatlh bIH.
I know everyone here by name.,naDev Hoch pong vISov.
I've just lost my new black wallet.,'eQ chu'bogh Huch buq qIj vIchIl.
Why did you come in here?,qatlh naDev Da'elpu'?
He told me that he'd be back soon.,tugh jIchegh muja'.
The sweets are on the table.,raSDaq bIHtaH na'ran rurbogh Soj'e'.
He is full of new ideas.,qech chu' Dojmey ghajbej.
I ate three times today.,DaHjaj wejlogh jISop.
I have a Japanese car.,nIpon puH Duj vIghaj.
"She does like jazz, doesn't she?",jeS QoQ parHa' qar'a'?
I wasn't asleep.,jIQongtaHbe'.
I play the guitar after dinner.,'uQ wISoppu'DI' leSpal vIchu'.
I did everything myself.,nIteb Hoch vIturta'.
I can teach you how to cook.,vutmeH mIw qaghojmoHlaH.
The streets were empty.,chIm tawmey.
That scares us.,nughIj.
Many thanks for the quick answer!,nom bIjangmo' qatlho'qu'!
You're only young once.,wa'logh neH Quplu'.
She got a present from him.,nobDaj Hev ghaH.
"I have nothing, but people think that's still too much.","pagh vIghaj, 'ach 'Iq net Qub."
I need a bike pump.,qam Do Duj yupwI' vIpoQ.
I now know this isn't true.,teHbe' DaH 'e' vISov.
Don't read in this room.,pa'vamDaq pelaDQo'!
You are only young once.,wa'logh neH Quplu'.
I presume you can speak French.,vIraS Hol DajatlhlaH 'e' vIHarqu'.
Aren't you going to go to Australia next week?,Hogh pIq 'aSralya' DajaH qar'a'?
It's a book of poetry.,ghuQmey paq 'oH.
You must be careful when talking to a European.,'ewropnganvaD bIjatlhtaHvIS bIyepnIS.
They can cause kidney failure.,rajma' luQapHa'moHlaH.
Why can't you stay with her?,qatlh juHDajDaq bIratlhlaHbe'?
I want to meet your family someday.,'opleS qorDu'lIj vIqIH vIneH.
It doesn't make any difference to me.,jISaHbe'chu'.
He was looking at the sky.,chal bejtaH.
A frog in a well doesn't know the ocean.,bIQ'a' Sovbe' Daqrab Dabbogh mabeb'e'.
Keep it going.,yIruch!
You haven't said yet where you live.,wej Daq DaDabbogh Dangu'.
I've never understood it.,not vIyajpu'.
What is love about?,nuq bop parmaq?
That seems to be the problem.,qay'law' ngoDvetlh.
I programmed my first computer game when I was twelve years old.,De'wI' QujwIj wa'DIch vIghunta' qaStaHvIS DISwIj wa'maH cha'DIch.
"My long-term memory is excellent, but my short-term memory is appalling — sorry, did I tell you that already?","pup poH nI' qawwIj, 'ach qabqu' poH ngaj qawwIj — qatlhIj, wejHa' qaja''a'?"
"Unfortunately, earthquakes are common in Asia.",Do'Ha' pIj 'aSya'Daq Qom nuvpu'.
I have to wash my hands.,ghopDu'wIj vISay'nISmoH.
"Hello, have you already eaten?",qavan. wejHa' bISoppu''a'?
Let's wait outside.,HurDaq maloSjaj.
It's a topic that's not often discussed.,pIjHa' meqvam'e' rIchlu'.
She sometimes puts honey in her tea.,rut DarghDajDaq DayqIr qang.
You are no longer a child.,puq SoHtaHbe'.
She knew she needed to leave town.,veng mejnIS 'e' Sov.
Maybe you can help me out here.,chaq naDev choboQlaH.
I'm glad I was able to do this.,vIta'laHpu'mo' jIQuch.
When will the wedding be?,ghorgh qaS tlhogh?
They have tattoos on their arms.,DeSDu'chaj lututlhmoHlu'pu'.
Remember that this isn't a game.,Quj 'oHbe'chu' 'e' yIqaw!
You'd better make use of the opportunity.,qaqqu' 'ebvam Dajonchugh.
I'm scared of cats.,mughIj vIghro'mey.
I'm scared of cats.,vIghro'mey vIHaj.
He will write an answer very soon.,jangmeH tugh ghItlh.
Rain is scarce in this country.,pIjHa' SepvamDaq SIS.
It's not real money.,Huchna' 'oHbe'.
Your father would also be proud of you.,SoHmo' Hem je vavlI'.
There's a vase on the table.,raSDaq 'oHtaH 'InSong bal'e'.
Three of my students were absent today.,DaHjaj Dach HaDwI'pu'wI' wej.
You're not my brothers.,loDnI'wI' tlhIHbe'.
Physically impossible.,HapQeDmo' DuHbe'.
The meeting went really well.,Qapqu'bejpu' qep.
Both boys have autism.,ngor cha' loDHompu'vam.
He told me that he's irritated.,jIbergh muja'pu'.
We'll need some.,'op DIpoQ.
"She's a pro, isn't she?",po' qar'a'?
She appears to have hanged herself.,jIb'eghlaw'pu'.
The Moon orbits the Earth.,tera' bav maS.
"Are you still staying at this hotel, too?",mebpa'meyvamDaq bIratlhtaH'a' je SoH?
You don't have much money but I'm happy because I'm with you.,"Huch law' Daghajbe', 'ach jIQuch qatlhejmo'."
You're standing on my foot!,qamwIj Dagho'taH!
The rainbow is colorful.,chum Har'ey.
John was mentioned in the paper.,ghItlhDaq jan pong tu'lu'.
He's certain.,DIch ghaj.
That happened just last Monday.,DaSjaj vorgh qaSpu' wanI'vetlh.
Be careful. Don't cut yourself.,yIyep! yIpe''eghQo'!
This is too expensive.,tlhoy wagh Dochvam.
"In 1918, revolts due to the price of rice erupted all around the country.",DIS 1918 ray' tIr DIlmeH Huchmo' Sep naQDaq Daw'choHlu'.
He's a dead man.,tugh Heghbej.
What is my task?,nuq 'oH Qu'wIj'e'?
He keeps his credit cards in his wallet.,Huch buqDajDaq Huch chaw'meyDaj poltaH.
You need the money.,Huchvetlh DapoQ.
I don't enjoy family gatherings very much.,qorDu' qepmey vItIvqu'be'.
Lucky you!,bIDo'bej!
We've had no snow at all so far this winter.,"qaStaHvIS qImroqvam bIrqu', not peD."
He'll be going by himself.,nIteb ghoS.
This is from God.,Dochvam'e' chenmoHta' Qun.
I know you worry about her.,ghaH DaQep 'e' vISov.
I'm getting married in October.,jar wa'maH jInay.
I'm getting married in October.,jar wa'maH jISaw.
I'm getting married in October.,jar wa'maH jItlhogh.
This isn't working.,Qapbe'ba'.
He admitted that he'd lied to her.,ghaHvaD neppu' 'e' chID.
We're going to the movies. Come with us.,HaSta much qach wIjaH. ghotlhej!
Can you remember that?,DaqawlaH'a'?
I can't believe we're here.,naDev mapaw 'e' vIHarlaHbe'.
Let me go out.,jImej 'e' yIchaw'!
"She's selling her house, isn't she?",juH qachDaj ngev qar'a'?
Just do what I'm doing.,HIlIl neH!
I plan to wash my car this afternoon.,DaHjaj pov puH DujwIj vISay'moH 'e' vInab.
I'm hungry. How about you?,jIghung. bIghung'a'?
I have a brother who works in Australia.,'aSralya'Daq vumbogh loDnI' vIghaj.
I believe in one God.,wa' Qun neH tu'lu' 'e' vIHar.
I probably won't walk home today.,ghaytan DaHjaj juHwIj vIcheghmeH jIyItbe'.
Let's go to the circus tomorrow.,wa'leS ghIchDep majaHjaj!
He really wants to meet you.,DuqIH neHqu'.
He's a smoker.,tlhIch purwI' ghaH.
"Stupid humans, said the squirrel.",«QIp Humanpu'» jatlh lIS'ab.
I believe this is inaccurate.,qarbe' 'oH 'e' vIHar.
I believe this is inaccurate.,qarbe'law'.
Don’t you see the rose?,ro'Sa' Daleghbe''a'?
Don't you recognize them?,chaH Daghovbe''a'?
What were you expecting?,nuq DapIH?
"If you haven't tried the cake yet, you should. It's really delicious.","wej chabvetlh DawaHchugh, DawaHnIS. 'eyqu'bej."
That's what makes you so special.,meqvetlhmo' bIle'qu'.
I need the keys.,ngaQHa'moHwI'mey vIpoQ.
You shouldn't have eaten so much.,"Soj law'qu' DaSopbe' net jalchugh, vaj qaqbej."
Thank you very much for everything.,Hochmo' Satlho'qu'.
You have to read everything.,Hoch DalaDnIS.
Your information is incorrect.,lughbe' De'lIj.
This won't be difficult.,Qatlhbe'bej Qu'vam.
We need to impress them.,chaHvaD maDojnIS.
We're not at war with the Japanese.,maQojbe' maH nIponganpu' je.
We're going to practice.,tugh maqeq.
